id,location,lon,lat,final,easily_skipped,group,comment,nogo_zones
BL,"Giessen Wasserfall, Kilchberg",7.903889,47.425167,TRUE,FALSE,NA,mandatory weil BS ohne nicht erreichbar ist,NA
SH,Rheinfall,8.6177681,47.6803488,FALSE,TRUE,4,ziemlich unklar bislang wo genau,"8.552942,47.583937,1741"
AR,Heilbad Unterreichstein,9.5155896,47.4310471,FALSE,FALSE,5,nah bei SG,"9.560595,47.401021,583;9.57819,47.413222,343;9.561625,47.423354,442;9.573383,47.449103,1529;9.613037,47.444111,952;9.53373,47.441325,1635;9.498711,47.421583,2459;9.461632,47.385802,3277;9.445839,47.420177,1094;9.277267,47.35743,4885;9.351339,47.391786,1220;9.392281,47.393468,2140"
AI,Seealpsee,9.4009876,47.2700758,FALSE,TRUE,5,rauslassen,"9.399834,47.302282,6405;9.377518,47.37063,1423;9.542141,47.41775,1069;9.542774,47.429376,225;9.515705,47.398262,653;9.531412,47.403752,724;9.560337,47.413844,581;9.58952,47.417057,660;9.580293,47.427941,797;9.565251,47.433277,483;9.605699,47.434532,280"
SG,"Weihere, SG",9.391073,47.4231933,FALSE,FALSE,NA,mandatory weil AI/AR ohne nicht erreichbar sind,NA
GR,Castrisch Brunnen,9.231395,46.776256,TRUE,FALSE,6,NA,"9.679642,46.914639,12257;9.327393,46.658848,26616"
AG,"Birrwil, Hafen",8.202365,47.2909432,FALSE,FALSE,6,NA,"8.202667,47.390916,13119;8.040276,47.531358,8929;8.269615,47.582079,11054;7.894707,47.276202,3852;7.853937,47.254241,2104;8.057785,47.304377,5380;7.922516,47.318956,1942;7.929554,47.256046,1995;7.969379,47.299139,2519;8.346004,47.277599,3572;8.359394,47.221438,2817;8.370209,47.180611,2308;8.387375,47.157739,2049;8.400421,47.321135,3097;8.374329,47.359411,2583"
TG,"Untersee, Thurgau",9.0176513,47.6752421,FALSE,FALSE,6,sehr unklar bislang,"8.964157,47.476901,5578;8.948193,47.412111,2412;9.387131,47.526938,4176;9.056854,47.634398,17518;8.761597,47.604774,1333;8.80331,47.60211,1918;9.254951,47.494479,2254"
TI,"Lai da Sontga Maria, Lucomagno",8.784589,46.566941,TRUE,TRUE,6,evtl. Gravel nach Airolo möglich -> Nufenen (VS),"8.684692,46.390541,20895"
VD,Lac de Brenet,6.317178,46.667207,TRUE,FALSE,6,NA,"6.595917,46.708811,17373;7.003098,46.905725,5491;6.970139,46.348802,16090"
NE,Lac des Taillères (Brevine),6.571174,46.964767,TRUE,FALSE,7,NA,"6.757965,47.047544,13151;6.992111,47.077488,5793"
GE,Jet d'Eau,6.1559768,46.2074078,FALSE,TRUE,7,NA,NA
VS,Nufenenpass See,8.387045,46.477352,TRUE,FALSE,7,NA,"8.33725,46.526909,6846;7.036057,46.111842,9688"
JU,"Doubs, Saint-Ursanne",7.166833,47.365333,TRUE,FALSE,NA,NA,NA
EN,"Bundesplatz, Bern",7.4430059,46.947148,TRUE,FALSE,NA,NA,NA
