id,location,lon,lat,final,easily_skipped,group,comment,nogo_zones
UR,Seelisbergsee,8.572907,46.9610136,FALSE,FALSE,1,NA,"8.550797,46.655094,7818;8.620148,46.885554,7252"
SZ,Sihlsee (Einsiedeln),8.7585541,47.1415204,FALSE,FALSE,1,ziemlich unklar wo genau,"8.739624,47.025233,11844;8.454666,47.081462,3242;8.758163,47.169648,4912;8.896866,47.157046,6031;8.968406,47.214647,275"
OW,Melchsee,8.2664034,46.7742188,FALSE,FALSE,1,evtl. Gravel über Engstlenalp möglich,"8.2164,46.868478,8697;8.277683,46.957062,2265"
NW,"Rotzlochschlucht, Ennetmoos",8.3314168,46.9634002,FALSE,FALSE,1,NA,"8.397675,46.96057,6835"
LU,Sempachersee,8.133401,47.171185,TRUE,FALSE,2,NA,"8.423767,47.033171,3002;8.269272,47.084123,9818;8.445225,47.109169,3895;7.991867,46.878506,9334;8.083191,47.101421,17300;7.891188,47.21508,3055;7.846556,47.227233,708;7.983627,47.257799,2022;8.256912,47.241254,3650"
ZH,Greifensee,8.660323,47.373439,TRUE,FALSE,2,NA,"8.693619,47.376038,18812;8.655339,47.194961,2752;8.518525,47.477533,11399;8.805881,47.544787,3649;8.485563,47.267115,5979"
GL,Elmercitro Brunnen,9.167908,46.913204,TRUE,FALSE,2,NA,"9.048615,46.996202,8518;9.007244,47.138476,2591;9.149895,47.107761,2661"
ZG,Zugersee,8.504339,47.172936,TRUE,FALSE,2,NA,"8.561783,47.146303,5863;8.457584,47.154996,3226;8.557148,47.197877,2835;8.407245,47.225864,1081;8.430634,47.199042,2357"
BE,Grimsel Pass Dam,8.3402021,46.5736048,FALSE,FALSE,NA,NA,NA
FR,Sappeurbrüggli über der Sense,7.352194,46.887528,TRUE,FALSE,3,NA,"7.134933,46.93432,5459;7.200165,46.983062,1980;7.141113,46.799209,11733;7.008591,46.923068,7322;6.850491,46.745946,1801;6.805515,46.73186,961;6.765175,46.734685,632;6.991425,46.599462,14011;7.241364,46.615463,5621;7.307024,46.868351,2512"
SO,Burgäschisee,7.670655,47.169347,TRUE,FALSE,3,NA,"7.397919,47.107757,1433;7.452507,47.091635,1281;7.439117,47.11618,1860;7.4683,47.146772,3645;7.685623,47.159432,701;7.62228,47.183297,3570;7.589107,47.157215,594;7.505035,47.209305,7259;7.40427,47.199217,3664;7.724075,47.373263,7109;7.771453,47.297044,4736;7.626228,47.268496,7292;7.853851,47.340564,3614;7.971264,47.391144,2764;7.90741,47.380918,2579;7.96586,47.440512,1351;7.659529,47.461524,2722;7.586057,47.371847,4362;7.46418,47.384868,1496;7.502265,47.378555,770;7.542028,47.405494,1013;7.624514,47.422045,2527"
BS,Tinguely Brunnen,7.590653,47.5535275,TRUE,TRUE,4,NA,NA
