ST13-ZH_,ST13,ZH,,,FALSE,10166,2,1341,155321,28971
ST12-AG_,ST12,AG,,,FALSE,6405,42,1216,142958,11153
ST10-VS_,ST10,VS,,,FALSE,22021,1179,12763,1531609,27065
ST06-FR_,ST06,FR,,,FALSE,4368,38,763,90146,20256
ST03-FR_,ST03,FR,,,FALSE,2319,6,317,38027,11488
ST07-GL_,ST07,GL,,,FALSE,17158,532,6610,793197,24989
ST10-GR_,ST10,GR,,,FALSE,18633,535,5662,673272,42039
ST05-LU_,ST05,LU,,,FALSE,8708,9,1457,174902,13098
ST05-FR_,ST05,FR,,,FALSE,4897,16,681,80361,36411
ST10-NW_,ST10,NW,,LU,FALSE,10274,125,2227,264872,23140
ST07-ZH_,ST07,ZH,,,FALSE,9577,23,1312,153239,28743
ST14-LU_,ST14,LU,,,FALSE,23237,138,4497,539440,30799
ST12-OW_,ST12,OW,,,FALSE,26014,1551,15924,1910074,71924
ST14-GL_,ST14,GL,,GR,FALSE,119958,1611,28240,3370017,208281
ST02-BL_,ST02,BL,,,FALSE,7068,164,2155,256137,32311
ST03-AG_,ST03,AG,,,FALSE,3205,25,545,61944,16700
ST14-BE_,ST14,BE,,VS-UR,FALSE,28596,1286,13318,1573579,222901
ST15-TG_,ST15,TG,,,FALSE,20044,168,4080,487689,37000
ST09-NE_,ST09,NE,,,FALSE,16739,228,4059,484116,36620
ST13-OW_,ST13,OW,,,FALSE,52560,1594,19478,2318798,88522
ST11-ZG_,ST11,ZG,,,FALSE,3922,4,609,73141,6137
ST08-FR_,ST08,FR,,,FALSE,4485,51,966,115957,17149
ST06-GL_,ST06,GL,,,FALSE,24411,519,7429,891151,32032
ST14-SZ_,ST14,SZ,,,FALSE,14730,376,5112,613531,18765
ST15-SZ_,ST15,SZ,,,FALSE,12901,603,6722,801892,22422
ST09-VS_,ST09,VS,,UR,FALSE,36531,1436,15603,1836235,212804
ST05-AI_,ST05,AI,,,FALSE,6408,79,1512,181496,13161
ST09-TG_,ST09,TG,,,FALSE,10443,30,1775,212979,15465
ST08-VS_,ST08,VS,,,FALSE,20876,1164,12482,1497935,25617
ST03-JU_,ST03,JU,,,FALSE,10392,301,3593,416917,29575
ST12-VS_,ST12,VS,,UR,FALSE,41417,1749,18833,2223941,248780
ST13-SG_,ST13,SG,,AR,FALSE,7766,64,1509,178560,16678
ST10-SG_,ST10,SG,,,FALSE,3323,102,1227,147301,8918
ST04-AI_,ST04,AI,,,FALSE,4327,63,1071,128561,5232
ST07-NW_,ST07,NW,,,FALSE,7639,7,1134,136102,10508
ST11-GR_,ST11,GR,,,FALSE,24073,612,6971,830313,49539
ST10-BL_,ST10,BL,,SO,FALSE,15055,358,4670,557126,53213
ST08-SO_,ST08,SO,,,FALSE,12290,57,2273,272736,21213
ST02-LU_,ST02,LU,,,FALSE,3185,11,539,64702,8630
ST07-SO_,ST07,SO,,,FALSE,10825,78,2148,257804,18644
ST08-NE_,ST08,NE,,,FALSE,19236,510,6703,800054,42652
ST11-BS_,ST11,BS,,,FALSE,9757,28,1652,198229,12535
ST06-BL_,ST06,BL,,,FALSE,7467,189,2473,295328,32365
ST04-GR_,ST04,GR,,,FALSE,7286,42,1315,157869,9023
ST01-AG_,ST01,AG,,,FALSE,1056,2,98,8603,10236
ST15-OW_,ST15,OW,,,FALSE,43957,1570,18561,2226523,55517
ST02-VS_,ST02,VS,,,FALSE,13744,1136,11149,1337952,16242
ST13-VD_,ST13,VD,,,FALSE,19321,518,6736,804730,28914
ST08-NW_,ST08,NW,,LU,FALSE,9183,132,2080,247266,20772
ST13-LU_,ST13,LU,,,FALSE,23983,161,4821,577205,31309
ST11-VS_,ST11,VS,,,FALSE,23654,1204,13221,1586572,29121
ST12-TG_,ST12,TG,,,FALSE,11229,31,1919,230288,16118
ST14-SO_,ST14,SO,,,FALSE,11849,100,2432,291822,22835
ST06-SZ_,ST06,SZ,,,FALSE,14764,601,7014,836870,23203
ST01-AR_,ST01,AR,,,FALSE,2932,139,1459,175113,6880
ST07-SH_,ST07,SH,,,FALSE,3968,27,723,86580,12466
ST12-ZG_,ST12,ZG,,,FALSE,3909,2,535,64180,6010
ST12-BL_,ST12,BL,,SO,FALSE,14419,357,4541,541604,47242
ST04-UR_,ST04,UR,,SZ-LU,FALSE,66667,786,15599,1863194,112031
ST04-JU_,ST04,JU,,,FALSE,12757,268,3417,391949,47931
ST12-BE_,ST12,BE,,VS,FALSE,34572,1183,14310,1715517,55179
ST12-UR_,ST12,UR,,SZ-LU,FALSE,66863,727,14636,1743078,118853
ST10-ZG_,ST10,ZG,,,FALSE,3275,4,538,64582,13202
ST06-ZG_,ST06,ZG,,,FALSE,1824,3,290,34837,2457
ST07-SG_,ST07,SG,,,FALSE,2682,101,1139,136679,9113
ST14-JU_,ST14,JU,,,FALSE,19493,399,5650,663819,40082
ST01-GL_,ST01,GL,,,FALSE,20353,519,6890,826798,26841
ST08-BL_,ST08,BL,,SO,FALSE,13189,339,4207,501447,45297
ST14-UR_,ST14,UR,,SZ-LU-ZG,FALSE,60798,737,14460,1726505,101169
ST12-GR_,ST12,GR,,,FALSE,20703,594,6437,766242,44189
ST11-OW_,ST11,OW,,,FALSE,42638,1608,18067,2146519,85912
ST14-NE_,ST14,NE,,,FALSE,25094,661,8768,1044397,54016
ST11-AR_,ST11,AR,,,FALSE,9602,189,2625,309384,28481
ST02-FR_,ST02,FR,,,FALSE,2665,0,235,26750,15440
ST02-SG_,ST02,SG,,,FALSE,1127,78,697,83649,2417
ST15-VD_,ST15,VD,,,FALSE,19372,533,6805,812966,29133
ST06-OW_,ST06,OW,,,FALSE,51345,2054,22853,2720802,97543
ST04-NW_,ST04,NW,,,FALSE,6331,131,1595,189032,23046
ST08-BS_,ST08,BS,,,FALSE,5865,20,1034,124031,10526
ST04-ZG_,ST04,ZG,,,FALSE,2028,0,268,32128,4447
ST14-BL_,ST14,BL,,SO,FALSE,20650,386,5736,685013,65165
ST12-JU_,ST12,JU,,,FALSE,18879,410,5639,661989,41251
ST03-NE_,ST03,NE,,,FALSE,12248,473,5355,638285,34938
ST14-TI_,ST14,TI,,UR-GR,FALSE,48470,1124,14698,1733979,129591
ST11-SG_,ST11,SG,,AR,FALSE,4484,64,1072,128112,7958
ST03-VD_,ST03,VD,,,FALSE,2090,2,265,31800,4246
ST04-TI_,ST04,TI,,GR,FALSE,33827,881,11400,1361445,86384
ST11-SZ_,ST11,SZ,,,FALSE,10999,604,6410,764500,19287
ST03-BL_,ST03,BL,,,FALSE,5586,153,1928,229982,29382
ST15-GL_,ST15,GL,,,FALSE,20653,571,7410,889257,26972
ST13-SO_,ST13,SO,,,FALSE,12392,38,2107,252878,19613
ST05-SZ_,ST05,SZ,,,FALSE,10612,599,6326,754328,18374
ST12-LU_,ST12,LU,,,FALSE,15168,303,4324,510996,30618
ST13-JU_,ST13,JU,,,FALSE,19394,418,5651,663909,46779
ST15-LU_,ST15,LU,,,FALSE,19376,118,3792,454924,25685
ST07-BL_,ST07,BL,,,FALSE,7119,139,2069,248327,33355
ST06-NE_,ST06,NE,,,FALSE,14960,474,5839,696442,38475
ST08-GL_,ST08,GL,,,FALSE,26278,529,7688,922266,67926
ST09-TI_,ST09,TI,,UR-GR,FALSE,43043,902,12158,1429140,122867
ST14-NW_,ST14,NW,,LU,FALSE,20107,169,3957,471859,35335
ST15-SG_,ST15,SG,,AR,FALSE,5118,19,640,72253,17227
ST14-AG_,ST14,AG,,,FALSE,7834,54,1530,180709,20080
ST11-ZH_,ST11,ZH,,,FALSE,10901,23,1474,172691,30138
ST06-BS_,ST06,BS,,,FALSE,4181,11,751,90076,7974
ST14-FR_,ST14,FR,,,FALSE,7921,41,1383,166025,19540
ST02-NW_,ST02,NW,,,FALSE,4784,119,1286,151865,14825
ST03-LU_,ST03,LU,,,FALSE,7174,20,1239,148636,11658
ST15-GE_,ST15,GE,,,FALSE,7862,20,1216,145997,12108
ST06-AR_,ST06,AR,,,FALSE,10781,510,5555,666563,18153
ST02-AR_,ST02,AR,,,FALSE,5727,294,3092,369771,15250
ST05-AG_,ST05,AG,,LU,FALSE,3305,32,664,79724,4863
ST01-TG_,ST01,TG,,,FALSE,593,4,99,11899,6240
ST02-ZG_,ST02,ZG,,,FALSE,1023,0,130,15557,12573
ST01-AI_,ST01,AI,,,FALSE,104,0,12,1478,495
ST04-AG_,ST04,AG,,,FALSE,3037,23,506,57364,23062
ST08-BE_,ST08,BE,,VS,FALSE,18770,695,7468,883054,63275
ST10-VD_,ST10,VD,,,FALSE,17289,526,6431,768154,26929
ST01-SG_,ST01,SG,,,FALSE,645,57,460,55146,5641
ST02-VD_,ST02,VD,,,FALSE,1229,3,206,24772,3246
ST12-BS_,ST12,BS,,,FALSE,10890,29,1877,225262,23570
ST11-SO_,ST11,SO,,,FALSE,12148,37,2128,255381,20241
ST03-BS_,ST03,BS,,,FALSE,3012,10,493,59126,7463
ST04-SO_,ST04,SO,,,FALSE,10564,46,1736,208361,23195
ST08-SH_,ST08,SH,,ZH,FALSE,4564,22,789,94447,9749
ST07-UR_,ST07,UR,,SZ-LU,FALSE,63486,777,15016,1793202,113246
ST07-TI_,ST07,TI,,GR,FALSE,29701,876,10775,1285143,75877
ST15-ZH_,ST15,ZH,,,FALSE,8109,14,1379,165448,20719
ST13-NW_,ST13,NW,,OW,FALSE,15128,152,3161,376866,24318
ST10-GL_,ST10,GL,,,FALSE,19876,565,7255,870693,25589
ST09-AR_,ST09,AR,,,FALSE,11652,562,6144,737300,22036
ST10-JU_,ST10,JU,,,FALSE,17087,405,5203,610101,46230
ST09-NW_,ST09,NW,,,FALSE,8369,7,1204,144504,30426
ST01-SH_,ST01,SH,,ZH,FALSE,2956,49,709,84266,17006
ST14-BS_,ST14,BS,,AG,FALSE,11560,30,2008,240972,14666
ST12-VD_,ST12,VD,,,FALSE,10118,72,2019,242297,13167
ST02-OW_,ST02,OW,,,FALSE,57187,2186,24490,2913682,111591
ST07-FR_,ST07,FR,,,FALSE,3612,20,605,72626,13640
ST06-LU_,ST06,LU,,,FALSE,10127,45,1835,220187,15801
ST12-SZ_,ST12,SZ,,,FALSE,16303,503,6353,762356,25704
ST04-OW_,ST04,OW,,,FALSE,56716,2179,24385,2901100,110666
ST15-SO_,ST15,SO,,,FALSE,16727,35,2630,315627,25636
ST13-BE_,ST13,BE,,VS,FALSE,35568,1203,14630,1753873,53391
ST08-TG_,ST08,TG,,,FALSE,10726,12,1608,193031,16025
ST02-AG_,ST02,AG,,,FALSE,2847,3,376,42205,7878
ST08-LU_,ST08,LU,,AG,FALSE,13155,197,3233,379962,32699
ST14-GE_,ST14,GE,,,FALSE,9001,6,1477,177217,16265
ST08-GE_,ST08,GE,,,FALSE,5223,22,908,109042,7467
ST04-BE_,ST04,BE,,VS,FALSE,25255,1101,12209,1463338,42433
ST05-SO_,ST05,SO,,,FALSE,10685,58,2034,244092,19898
ST09-GR_,ST09,GR,,,FALSE,14393,60,2434,291823,18854
