SH-FR_,SH,FR,,AG-ZH-SO,FALSE,172718,1007,33177,3972821,223521
SO-BE_,SO,BE,,,FALSE,152391,2729,43011,5152841,222682
BS-AI_,BS,AI,,TG-AG-ZH-AR,FALSE,172888,1230,34988,4195127,219878
SZ-NW_,SZ,NW,,ZH-LU-ZG,FALSE,70997,271,11700,1398289,106630
ZH-LU_,ZH,LU,,AG,FALSE,72766,560,14849,1779300,102609
TI-SO_,TI,SO,,SZ-UR-GR-LU-ZG,FALSE,211240,2611,45672,5382625,481665
FR-AR_,FR,AR,,TG-AG-ZH,FALSE,225147,1519,44455,5318596,295923
BS-ZH_,BS,ZH,,AG,FALSE,96840,594,18817,2254854,129584
UR-BL_,UR,BL,,AG-SO-LU,FALSE,100454,863,20555,2445150,188430
NE-TI_,NE,TI,,FR-UR-GR,FALSE,283827,5360,78974,9281454,575304
TG-GR_,TG,GR,,,FALSE,166260,962,32162,3851602,220167
AI-VS_,AI,VS,,UR-GR-TI,FALSE,224544,4401,64535,7665132,391936
SG-JU_,SG,JU,,TG-AG-ZH-SO,FALSE,213590,1294,40405,4824748,299412
SO-LU_,SO,LU,,,FALSE,48414,255,8854,1062028,67692
SZ-BE_,SZ,BE,,ZH-OW-LU-ZG,FALSE,148268,3034,43718,5211565,244552
NW-BL_,NW,BL,,AG-SO-LU,FALSE,80121,721,16831,2014100,136475
VD-ZG_,VD,ZG,,FR-SO-LU,FALSE,222185,1072,40044,4783019,298949
BE-GL_,BE,GL,,SZ-ZH-OW-LU-ZG,FALSE,198429,2055,41374,4861724,396996
SZ-SH_,SZ,SH,,ZH,FALSE,86198,415,14817,1769976,123647
JU-ZG_,JU,ZG,,AG-ZH-SO,FALSE,143448,1220,29309,3494846,206086
SH-AG_,SH,AG,,ZH,FALSE,87471,749,17842,2134543,118104
VD-BS_,VD,BS,,SO-NE,FALSE,188510,865,33448,3992603,271939
ZG-NW_,ZG,NW,,LU,FALSE,37831,219,7155,856317,56086
JU-VD_,JU,VD,,NE,FALSE,129337,2046,33513,3988359,210141
GR-SG_,GR,SG,,AR,FALSE,120913,1159,25692,3059353,183023
OW-SO_,OW,SO,,LU,FALSE,110825,697,19153,2231439,222485
NE-EN_,NE,EN,,FR,FALSE,84332,746,16966,2006225,163996
VS-JU_,VS,JU,,,FALSE,232619,2544,49437,5786448,488529
AI-GR_,AI,GR,,,FALSE,111449,927,22318,2654370,174519
